scholar_id,given_name,family_name,full_name,is_editor,field_of_study,former_surname,field_of_study_broad
942,Gabriele,Wydra-Somaggio,Gabriele Wydra-Somaggio,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
943,Sabine,Pfeiffer,Sabine Pfeiffer,True,Arbeits- und Techniksoziologie,,"Medien, Digitalisierung & Technik"
944,Manuel,Nicklich,Manuel Nicklich,True,Personalpolitik,,Ökonomie & Arbeitsmarkt
945,Michael,Henke,Michael Henke,True,Unternehmenslogistik,,Ökonomie & Arbeitsmarkt
946,Martina,Heßler,Martina Heßler,True,Technikgeschichte,,"Medien, Digitalisierung & Technik"
947,Martin,Krzywdzinski,Martin Krzywdzinski,True,Arbeitssoziologie,,Ökonomie & Arbeitsmarkt
948,Ingo,Schulz-Schaeffer,Ingo Schulz-Schaeffer,True,Techniksoziologie,,"Medien, Digitalisierung & Technik"
949,Annelies G.,Blom,Annelies G. Blom,False,Survey-Methodologie,,Methoden & Statistik
950,Barbara,Erdel,Barbara Erdel,False,Arbeitsmarktforschung,,Ökonomie & Arbeitsmarkt
951,Mathis,Fräßdorf,Mathis Fräßdorf,False,Datenmanagement,,Forschungsmanagement
952,Kristin,Hajek,Kristin Hajek,False,Familiensoziologie,,Soziologie & Gesellschaft
953,Susanne,Helmschrott,Susanne Helmschrott,False,Survey-Methodologie,,Methoden & Statistik
954,Martin,Kroh,Martin Kroh,False,Empirische Sozialforschung,,Soziologie & Gesellschaft
955,Denise,Saßenroth,Denise Saßenroth,False,Survey-Methodologie,,Methoden & Statistik
956,Eva-Maria,Trüdinger,Eva-Maria Trüdinger,False,Empirische Demokratieforschung,,Politikwissenschaft
957,Tobias,Rausch,Tobias Rausch,False,Lehrkräftebildung,,Bildung & Erziehungswissenschaft
958,Irene M.,Schiefer,Irene M. Schiefer,False,Empirische Bildungsforschung,Schurtz,Bildung & Erziehungswissenschaft
959,Julia,Philipp,Julia Philipp,False,Geschlechterforschung,,Soziologie & Gesellschaft
960,Ilaria,Pietropoli,Ilaria Pietropoli,False,Soziologie,,Soziologie & Gesellschaft
961,Irena,Pietrzyk,Irena Pietrzyk,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
962,Anne,Piezunka,Anne Piezunka,False,Soziale Arbeit,,Soziologie & Gesellschaft
963,Michael,Wrase,Michael Wrase,False,Bildungs- und Sozialrecht,,Bildung & Erziehungswissenschaft
964,Anna,Kroth,Anna Kroth,False,Übergänge im Lebensverlauf,,Demographie & Lebensverlauf
965,Anna,Südkamp,Anna Südkamp,False,Kompetenzforschung,,Bildung & Erziehungswissenschaft
966,Katinka,Hardt,Katinka Hardt,False,Large-Scale Assessment,,Bildung & Erziehungswissenschaft
967,Stefanie,Kley,Stefanie Kley,False,Empirische Sozialforschung,,Soziologie & Gesellschaft
968,Gregor,Bongaerts,Gregor Bongaerts,False,Soziologie,,Soziologie & Gesellschaft
969,Albert,Scherr,Albert Scherr,False,Soziologie,,Soziologie & Gesellschaft
970,Marcel,Erlinghagen,Marcel Erlinghagen,False,Empirische Sozialstrukturanalyse,,Soziologie & Gesellschaft
971,Bernhard,Schäfers,Bernhard Schäfers,False,Sozialstrukturanalyse,,Soziologie & Gesellschaft
972,Joachim,Renn,Joachim Renn,False,Soziologie,,Soziologie & Gesellschaft
973,Dariuš,Zifonun,Dariuš Zifonun,False,Migrationsforschung,,Migration & Integration
974,Marcela,Guarjardo,Marcela Pozas,False,Inklusive Bildung,Pozas,Bildung & Erziehungswissenschaft
975,Gesine,Jordan,Gesine Jordan,False,Sozialpsychologie,,Psychologie
976,Verena,Letzel-Alt,Verena Letzel-Alt,False,Sonderpädagogik,Letzel,Bildung & Erziehungswissenschaft
977,Christoph,Schneider,Christoph Schneider,False,Diagnostik,,Methoden & Statistik
978,Johanna Sophie,Quis,Johanna Sophie Quis,False,Gesundheitsökonomik,,Ökonomie & Arbeitsmarkt
