author1_id,author2_id,paper_id,year,journal,title
10,376,WOS:000484681200011,2019,SOCIAL INCLUSION,"Vocational Education and Employment: Explaining Cohort Variations in
Life Course Patterns"
10,377,WOS:000484681200011,2019,SOCIAL INCLUSION,"Vocational Education and Employment: Explaining Cohort Variations in
Life Course Patterns"
376,377,WOS:000484681200011,2019,SOCIAL INCLUSION,"Vocational Education and Employment: Explaining Cohort Variations in
Life Course Patterns"
223,822,WOS:001605463900001,2025,SOCIAL INCLUSION,"Inequality at the Transition to Higher Education in Germany: Social
Differences by Prior Educational Pathways"
223,1135,WOS:001605463900001,2025,SOCIAL INCLUSION,"Inequality at the Transition to Higher Education in Germany: Social
Differences by Prior Educational Pathways"
822,1135,WOS:001605463900001,2025,SOCIAL INCLUSION,"Inequality at the Transition to Higher Education in Germany: Social
Differences by Prior Educational Pathways"
284,862,WOS:000406489900007,2017,JOURNAL OF HAPPINESS STUDIES,"Psychological Well-Being as an Additional Outcome Parameter in the
Treatment of Patients with Gambling Disorder: Results from a Clinical
Multicenter Follow-Up Study"
16,825,WOS:001386067900001,2024,JOURNAL OF HAPPINESS STUDIES,"When the Burden Lifts: The Effect of School and Day Care Reopenings on
Parents' Life Satisfaction"
134,513,WOS:000461536000002,2019,LEARNING AND INSTRUCTION,"The dimensional structure of students' self-concept and interest in
science depends on course composition"
134,1032,WOS:000461536000002,2019,LEARNING AND INSTRUCTION,"The dimensional structure of students' self-concept and interest in
science depends on course composition"
513,1032,WOS:000461536000002,2019,LEARNING AND INSTRUCTION,"The dimensional structure of students' self-concept and interest in
science depends on course composition"
134,513,WOS:000524678900001,2022,JOURNAL OF EXPERIMENTAL EDUCATION,Science Self-Concept - More than the Sum of Its Parts?
149,1032,WOS:000330696100001,2014,JOURNAL OF EXPERIMENTAL EDUCATION,Doubly Latent Multilevel Analyses of Classroom Climate: An Illustration
128,645,WOS:000461536000014,2019,LEARNING AND INSTRUCTION,"Formative assessment in mathematics: Mediated by feedback's perceived
usefulness and students' self-efficacy"
133,624,WOS:000383826900004,2016,LEARNING AND INSTRUCTION,"Context-related changes in academic self concept development: On the
long-term persistence of big-fish-little-pond effects"
132,133,WOS:000300968200001,2012,LEARNING AND INSTRUCTION,"Improving second language skills of immigrant students: A field trial
study evaluating the effects of a summer learning program"
132,420,WOS:000300968200001,2012,LEARNING AND INSTRUCTION,"Improving second language skills of immigrant students: A field trial
study evaluating the effects of a summer learning program"
133,420,WOS:000300968200001,2012,LEARNING AND INSTRUCTION,"Improving second language skills of immigrant students: A field trial
study evaluating the effects of a summer learning program"
179,1087,WOS:001030681100001,2023,LEARNING AND INSTRUCTION,"A digital game-based training improves spelling in German primary school
children-A randomized controlled field trial"
134,1079,WOS:001220890300001,2024,STUDIES IN EDUCATIONAL EVALUATION,"The double-edged sword of de-tracking reforms in Germany: Using a
Difference-in-Differences approach to estimate effects on students'
educational aspirations and their association with students'
socioeconomic backgrounds"
86,371,WOS:001298158300001,2024,STUDIES IN EDUCATIONAL EVALUATION,"Circumventing construct-irrelevant variance in international assessments
using cognitive diagnostic modeling: A curriculum-sensitive measure"
134,663,WOS:001347263000001,2024,LEARNING AND INSTRUCTION,"Tests of moderation of the big-fish-little-pond effect across students
with and without special educational needs in regular versus special
education schools"
58,624,WOS:000689547000009,2021,STUDIES IN EDUCATIONAL EVALUATION,"Implementation processes of site-based management at schools in
challenging circumstances in Germany: Principals' and teachers'
perceptions of openness and consensus in target setting processes"
282,903,WOS:000246514500005,2007,LEARNING AND INSTRUCTION,Educational films in the classroom: Increasing the benefit
132,270,WOS:000259838300006,2008,LEARNING AND INSTRUCTION,"Students' and mathematics teachers' perceptions of teacher enthusiasm
and instruction"
132,318,WOS:000259838300006,2008,LEARNING AND INSTRUCTION,"Students' and mathematics teachers' perceptions of teacher enthusiasm
and instruction"
132,673,WOS:000259838300006,2008,LEARNING AND INSTRUCTION,"Students' and mathematics teachers' perceptions of teacher enthusiasm
and instruction"
270,318,WOS:000259838300006,2008,LEARNING AND INSTRUCTION,"Students' and mathematics teachers' perceptions of teacher enthusiasm
and instruction"
270,673,WOS:000259838300006,2008,LEARNING AND INSTRUCTION,"Students' and mathematics teachers' perceptions of teacher enthusiasm
and instruction"
